metric,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
macaques_macaquecp_90_5e-5,71.775,69.054,75.001,73.9,80.795,78.404,85.446,83.855,74.415,88.522,81.066,71.761,85.198,81.507,85.287,88.376,96.622,80.952,11.905,7.1429,10956,1441,383,11,34,5,3,36,68.855,87.336,83.609,91.41,10365,2032,974,11339,12397,63,42
macaques_macaquecpw_100_5e-5,72.688,69.486,76.393,74.555,81.361,79.66,86.297,84.54,75.446,88.822,81.842,72.693,84.98,82.309,85.101,88.368,96.435,76.19,19.048,4.7619,10955,1442,405,15,32,8,2,44,69.347,88.302,84.609,92.333,10489,1908,871,11360,12397,64,42
macaques_macaquecpw_10_5e-5,73.815,70.794,77.251,75.697,83.089,80.322,87.628,85.728,76.459,88.623,83.279,73.804,84.851,83.798,84.924,88.013,96.609,76.19,19.048,4.7619,10911,1486,383,9,32,8,2,28,70.591,88.177,84.254,92.483,10445,1952,849,11294,12397,51,42
macaques_macaquecpw_110_5e-5,73.346,70.323,76.796,75.464,81.799,80.001,86.455,84.897,76.112,89.095,82.374,73.391,85.537,82.775,85.674,88.965,96.433,73.81,21.429,4.7619,11029,1368,408,17,31,9,2,39,70.213,89.024,85.577,92.76,10609,1788,828,11437,12397,61,42
macaques_macaquecpw_120_5e-5,72.739,70.323,75.546,75.167,81.662,78.804,85.752,84.439,75.34,88.982,81.78,72.769,86.263,82.21,86.352,89.199,96.906,78.571,11.905,9.5238,11058,1339,353,11,33,5,4,46,70.395,87.92,84.424,91.719,10466,1931,945,11411,12397,59,42
macaques_macaquecpw_130_5e-5,73.167,70.231,76.526,75.095,82.087,79.719,86.41,84.859,75.792,88.889,82.306,73.161,85.722,82.669,85.835,88.659,96.914,76.19,14.286,9.5238,10991,1406,350,14,32,6,4,37,70.357,88.516,84.746,92.637,10506,1891,835,11341,12397,61,42
macaques_macaquecpw_140_5e-5,72.903,70.167,76.084,75.052,81.983,79.348,86.346,84.833,75.542,88.675,82.271,72.954,85.674,82.653,85.771,88.659,96.846,76.19,14.286,9.5238,10991,1406,358,12,32,6,4,39,70.294,88.133,84.408,92.202,10464,1933,885,11349,12397,60,42
macaques_macaquecpw_150_5e-5,74.056,71.196,77.346,75.783,82.803,80.676,86.697,85.087,76.543,89.799,82.581,74.157,86.666,82.967,86.747,89.134,97.391,78.571,14.286,7.1429,11050,1347,296,10,33,6,3,36,71.483,89.281,85.496,93.416,10599,1798,747,11346,12397,53,42
macaques_macaquecpw_160_5e-5,73.288,70.245,76.759,75.306,81.541,80.301,85.64,84.549,76.015,90.161,81.734,73.691,86.553,82.358,86.658,89.506,96.917,80.952,9.5238,9.5238,11096,1301,353,13,34,4,4,37,70.763,89.122,85.714,92.812,10626,1771,823,11449,12397,55,42
macaques_macaquecpw_170_5e-5,73.974,71.448,76.893,76.109,82.167,80.259,85.924,84.553,76.483,90.599,81.93,74.228,87.65,82.344,87.707,90.167,97.344,78.571,14.286,7.1429,11178,1219,305,7,33,6,3,40,71.731,90.218,86.892,93.808,10772,1625,711,11483,12397,51,42
